born_on,kind,name
2006-04-03,fish,Sushi
2010-06-24,fish,Bubbles
2008-10-24,fish,Casper
2006-03-13,fish,Flash
2006-11-14,fish,Shadow
2007-09-30,fish,Comet
2008-03-27,fish,McLovin
2007-07-09,fish,Pile O' Skulls
2014-03-18,fish,Sunny
2010-08-26,fish,Ariel
2013-02-28,fish,Crimson
2012-03-03,fish,Freckles
2007-07-26,fish,Johnston
2011-03-24,fish,Nemo
2012-10-31,fish,Spike
2014-06-04,fish,Ace
2013-08-07,fish,Ai Kuai
2006-10-31,fish,Air Marshall
2014-06-20,fish,Ajax
2005-06-01,fish,Alstin-Bae Jr
2014-10-09,fish,An Kai
2006-02-06,fish,Anarchy
2007-09-28,fish,Andro Sostar
2014-08-09,fish,Aphrodite
2005-04-24,fish,Asa
2010-10-22,fish,Azhdeha
2009-05-18,fish,Azzuri
2010-02-17,fish,B
2011-12-20,fish,Babel
2005-02-14,fish,Babies
2007-11-03,fish,Baby Finley
2005-09-09,fish,Baby Guppies
2013-11-02,fish,Bacon
2009-01-19,fish,Balthazar
2006-05-22,fish,Batista
2013-11-08,fish,Batman
2013-08-20,fish,Berger Gary
2007-08-30,fish,Berry
2005-01-14,fish,Bicker
2007-07-01,fish,Billy
2008-10-15,fish,Blade
2011-07-27,fish,Blingo
2006-11-13,fish,Bloop The Sixth
2011-02-24,fish,Blue
2007-08-19,fish,Bob
2009-04-21,fish,Boo
2008-07-05,fish,Bowser
2008-11-29,fish,Brat
2008-08-15,fish,Britepix
2010-11-24,fish,Bubble Galaxy
2006-04-05,fish,Bubles
2007-05-23,fish,Butterbill-RIP
2014-10-20,fish,Captain Jack
2008-12-11,fish,Casimir
2009-03-14,fish,Chapuys
2010-06-07,fish,Charli
2012-09-22,fish,Charlie
2006-12-19,fish,ChooChoo
2014-12-28,fish,Cocoa
2007-07-03,fish,Comet&Lila
2005-02-13,fish,Confucius
2007-07-29,fish,Cookie Johsthon
2013-05-23,fish,Crush
2009-07-25,fish,Cura
2012-02-27,fish,Cutie Pie
2007-11-12,fish,Da Koi
2005-06-07,fish,Dad Fish
2010-02-08,fish,DaFishBowl
2014-06-23,fish,Deb
2005-01-31,fish,Delos
2011-01-16,fish,Dexter
2006-02-18,fish,Dick
2012-05-31,fish,Diggy
2012-01-15,fish,Divljak
2007-01-29,fish,Dor
2010-03-29,fish,Dr. Seuss
2010-07-12,fish,Dr. Dre
2005-11-05,fish,Draco
2014-06-03,fish,Drago
2013-09-26,fish,Drake
2009-06-03,fish,Drew
2011-11-22,fish,Duke
2006-08-08,fish,Dusty
2010-05-05,fish,Earl
2012-01-12,fish,Eclipse
2010-12-18,fish,Eedu
2010-06-23,fish,El
2005-01-08,fish,Electric
2008-09-22,fish,Elsa
2009-07-18,fish,Ernest
2005-11-25,fish,Ernie
2012-11-09,fish,Ezekiel
2012-05-05,fish,Fancy Pal
2009-04-02,fish,Fiesty Da Fish
2009-12-16,fish,Finley
2008-09-08,fish,Fish
2013-11-22,fish,Fishi
2006-09-10,fish,Fishies
2012-05-08,fish,Fishy
2013-06-04,fish,Floyd&Sunn
2011-12-31,bird,Charlie
2008-05-21,bird,Angel
2003-08-13,bird,Skittles
2006-06-26,bird,Baby
2002-05-05,bird,Bogart
2001-02-17,bird,Coco
2001-07-21,bird,Jet
2003-04-24,bird,Kiwi
2012-07-05,bird,Max
2010-12-30,bird,Me
2014-05-21,bird,Shadow
2007-10-31,bird,Sunshine
2007-09-03,bird,Baxter
2009-02-08,bird,Bobo
2011-08-25,bird,ELMO
2012-10-27,bird,Getty
2014-04-15,bird,Harley
2005-12-16,bird,Indy
2002-05-27,bird,Isabelle
2003-12-10,bird,Jewel
2008-10-21,bird,Maxwell
2006-05-11,bird,Oliver
2013-03-27,bird,Paco
2008-11-19,bird,Polly
2006-02-26,bird,Pumpkin
2002-08-02,bird,Rio
2011-11-11,bird,Rocky
2001-03-12,bird,Shygo
2013-12-24,bird,Star
2002-07-20,bird,Starburst
2007-02-12,bird,Sunny
2005-06-24,bird,Tweety
2000-11-05,bird,Chicks!
2011-04-03,bird,Abu
2006-05-03,bird,Aiden
2002-07-24,bird,Aigle
2008-12-01,bird,Andrew
2004-06-21,bird,Angry Bird
2009-02-06,bird,Apricot
2000-03-06,bird,Arriba
2004-08-30,bird,Auzzie
2008-07-25,bird,Axel
2013-10-30,bird,Azul
2010-03-31,bird,Baby Bird
2004-07-03,bird,Baby Blue
2000-07-20,bird,Bailey
2007-08-09,bird,Barney
2009-06-01,bird,BB
2003-11-13,bird,Berri
2009-08-09,bird,Beryl
2003-12-05,bird,Betty-Boop
2006-10-02,bird,Beyonce
2009-07-04,bird,Bibi
